ID,Symbol,Time,Price,Volume
315,IBM,18:08:27.177824,160.1,1889709
316,MSFT,18:08:27.177824,67.86,4625382
317,TWTR,18:08:27.177824,16.555,28103988
318,HPQ,18:08:27.177824,18.74,468998
319,GOOGL,18:08:27.177824,889.73,557002
320,AMZN,18:08:27.177824,909.29,2608948
321,YHOO,18:09:28.826860,48.4201,3777685
322,INTC,18:09:28.826860,37.1,9555076
323,FB,18:09:28.826860,147.29,6104138
324,AAPL,18:09:28.826860,143.77,7035709
325,IBM,18:09:28.826860,159.92,1500000
326,MSFT,18:09:28.826860,67.775,737308
327,TWTR,18:09:28.826860,16.49,25847151
328,HPQ,18:09:28.826860,18.755,3388119
329,GOOGL,18:09:28.826860,890.275,375289
330,AMZN,18:09:28.826860,919.1,1429858
331,YHOO,18:10:30.499266,48.25,5215728
332,INTC,18:10:30.499266,37.09,13675673
333,FB,18:10:30.499266,147.34,6444165
334,AAPL,18:10:30.499266,143.48,4945691
335,IBM,18:10:30.499266,159.92,1500000
336,MSFT,18:10:30.499266,67.86,4625382
337,TWTR,18:10:30.499266,16.335,16765632
338,HPQ,18:10:30.499266,18.805,2021683
339,GOOGL,18:10:30.499266,889.78,686440
340,AMZN,18:10:30.499266,920.6,67782
341,YHOO,18:11:32.304898,48.36,4566003
342,INTC,18:11:32.304898,36.995,4870516
343,FB,18:11:32.304898,147.0255,4437023
344,AAPL,18:11:32.304898,143.48,4945691
345,IBM,18:11:32.304898,160.21,1711691
346,MSFT,18:11:32.304898,67.955,7485818
347,TWTR,18:11:32.304898,16.335,16765632
348,HPQ,18:11:32.304898,18.74,468998
349,GOOGL,18:11:32.304898,888.9551,805557
350,AMZN,18:11:32.304898,919.3,1440069
351,YHOO,18:12:33.971595,48.2,5568096
352,INTC,18:12:33.971595,37.1,9555076
353,FB,18:12:33.971595,147.26,163107
354,AAPL,18:12:33.971595,143.7,6877803
355,IBM,18:12:33.971595,160.1,1889709
356,MSFT,18:12:33.971595,67.955,7485818
357,TWTR,18:12:33.971595,16.555,28103988
358,HPQ,18:12:33.971595,18.755,3388119
359,GOOGL,18:12:33.971595,888.9551,805557
360,AMZN,18:12:33.971595,920.6,67782
361,YHOO,18:13:35.648971,48.36,4566003
362,INTC,18:13:35.648971,37.09,13675673
363,FB,18:13:35.648971,147.29,6104138
364,AAPL,18:13:35.648971,143.68,20041241
365,IBM,18:13:35.648971,160.1,1889709
366,MSFT,18:13:35.648971,67.86,4625382
367,TWTR,18:13:35.648971,16.49,25847151
368,HPQ,18:13:35.648971,18.755,3388119
369,GOOGL,18:13:35.648971,890.275,375289
370,AMZN,18:13:35.648971,919.1,1429858
371,YHOO,18:14:37.222917,48.36,4566003
372,INTC,18:14:37.222917,36.995,4870516
373,FB,18:14:37.222917,147.0255,4437023
374,AAPL,18:14:37.222917,143.55,4997818
375,IBM,18:14:37.222917,159.94,1467206
376,MSFT,18:14:37.222917,67.775,737308
377,TWTR,18:14:37.222917,16.49,25847151
378,HPQ,18:14:37.222917,18.805,2021683
379,GOOGL,18:14:37.222917,889.78,686440
380,AMZN,18:14:37.222917,920.6,67782
381,YHOO,18:15:38.803563,48.26,4053137
382,INTC,18:15:38.803563,37.09,13675673
383,FB,18:15:38.803563,147.0255,4437023
384,AAPL,18:15:38.803563,143.77,7035709
385,IBM,18:15:38.803563,159.92,1500000
386,MSFT,18:15:38.803563,67.83,26190770
387,TWTR,18:15:38.803563,16.335,16765632
388,HPQ,18:15:38.803563,18.74,468998
389,GOOGL,18:15:38.803563,888.9551,805557
390,AMZN,18:15:38.803563,920.1925,61945
391,YHOO,18:16:40.474355,48.25,5215728
392,INTC,18:16:40.474355,37.105,11201781
393,FB,18:16:40.474355,147.29,6104138
394,AAPL,18:16:40.474355,143.48,4945691
395,IBM,18:16:40.474355,159.94,1467206
396,MSFT,18:16:40.474355,67.86,4625382
397,TWTR,18:16:40.474355,16.49,25847151
398,HPQ,18:16:40.474355,18.78,4602102
399,GOOGL,18:16:40.474355,890.275,375289
400,AMZN,18:16:40.474355,919.3,1440069
401,YHOO,18:17:42.241416,48.25,5215728
402,INTC,18:17:42.241416,36.995,4870516
403,FB,18:17:42.241416,147.0255,4437023
404,AAPL,18:17:42.241416,143.55,4997818
405,IBM,18:17:42.241416,159.92,1500000
406,MSFT,18:17:42.241416,67.665,5234474
407,TWTR,18:17:42.241416,16.49,25847151
408,HPQ,18:17:42.241416,18.805,2021683
409,GOOGL,18:17:42.241416,889.14,1323297
410,AMZN,18:17:42.241416,920.1925,61945
411,YHOO,18:18:43.846784,48.4201,3777685
412,INTC,18:18:43.846784,37.105,11201781
413,FB,18:18:43.846784,147.34,6444165
414,AAPL,18:18:43.846784,143.7,6877803
415,IBM,18:18:43.846784,160.1,1889709
416,MSFT,18:18:43.846784,67.775,737308
